,name,c,renyi,shannon,elapsed,bandwidth,bandwidth_percent
0,PrpRe,1.0,5.481648381340929,6.583151504475908,0.0005331039428710938,0.0,0.0
1,PopRe,1.0,5.481648381340929,6.583151504475908,0.00037980079650878906,0.0,0.0
2,PopSh,1.0,5.481648381340929,6.583151504475908,0.0003674030303955078,0.0,0.0
3,PrpReBa,1.0,5.481648381340929,6.583151504475908,0.0009031295776367188,0.0,0.0
4,PopReBa,1.0,5.481648381340929,6.583151504475908,0.0007658004760742188,0.0,0.0
5,PopReSh,1.0,5.481648381340929,6.583151504475908,0.000732421875,0.0,0.0
6,PrpRe,1.02,4.972174909437595,5.882952094780866,0.006333589553833008,0.0010956972986480415,0.10956972986480415
7,PopRe,1.02,4.990694839584405,5.856982820702792,0.0016283988952636719,0.0012671325642135088,0.1267132564213509
8,PopSh,1.02,4.990694839584405,5.855636970593898,0.00130462646484375,0.001319782392961644,0.1319782392961644
9,PrpReBa,1.02,4.972174909437595,5.883315331124183,0.021169185638427734,0.0010956333084874766,0.10956333084874766
10,PopReBa,1.02,4.990694839584405,5.856982820702792,0.003053426742553711,0.0012671325642135088,0.1267132564213509
11,PopReSh,1.02,4.990694839584405,5.856982820702792,0.5106344223022461,0.0012671325642135088,0.1267132564213509
12,PrpRe,1.04,4.69082975832326,5.508799288320765,0.0033164024353027344,0.002988725746892727,0.2988725746892727
13,PopRe,1.04,4.726530407938855,5.4566065697775885,0.0017538070678710938,0.003138983538424748,0.31389835384247483
14,PopSh,1.04,4.726795376849701,5.45332249225292,0.001251220703125,0.003800879759889086,0.38008797598890864
15,PrpReBa,1.04,4.69082975832326,5.514532188793222,0.01744389533996582,0.002965437843364832,0.2965437843364832
16,PopReBa,1.04,4.726530407938855,5.4566065697775885,0.0029764175415039062,0.003138983538424748,0.31389835384247483
17,PopReSh,1.04,4.726530407938855,5.4566065697775885,0.26248621940612793,0.003138983538424748,0.31389835384247483
18,PrpRe,1.06,4.45928801470054,5.21866367203125,0.0033435821533203125,0.007018552870976008,0.7018552870976008
19,PopRe,1.06,4.5033280827446625,5.15113708119219,0.0019659996032714844,0.007696361474185634,0.7696361474185633
20,PopSh,1.06,4.5033280827446625,5.1403091922891795,0.0014851093292236328,0.00761861860266574,0.761861860266574
21,PrpReBa,1.06,4.45928801470054,5.2467468943418805,0.020234346389770508,0.00686642275405833,0.686642275405833
22,PopReBa,1.06,4.5033280827446625,5.15113708119219,0.003330230712890625,0.007696361474185634,0.7696361474185633
23,PopReSh,1.06,4.5033280827446625,5.15113708119219,0.15559625625610352,0.007696361474185634,0.7696361474185633
24,PrpRe,1.08,4.273727011379082,4.987268325764534,0.0036406517028808594,0.011184140299619168,1.1184140299619167
25,PopRe,1.08,4.3377591148243235,4.92629286214274,0.0021135807037353516,0.009861278739534404,0.9861278739534404
26,PopSh,1.08,4.338855448716604,4.90043332713939,0.0014696121215820312,0.010624503215346578,1.0624503215346577
27,PrpReBa,1.08,4.273727011379082,5.0078182259371085,0.020155668258666992,0.01083895063441601,1.083895063441601
28,PopReBa,1.08,4.3377591148243235,4.92629286214274,0.0034928321838378906,0.009861278739534404,0.9861278739534404
29,PopReSh,1.08,4.3377591148243235,4.9251346303890715,0.0961751937866211,0.010407943027354203,1.0407943027354203
30,PrpRe,1.1,4.091498001692292,4.750753444351896,0.004075527191162109,0.014541578185687357,1.4541578185687358
31,PopRe,1.1,4.195678980200363,4.71955135568591,0.002583742141723633,0.01481419313586125,1.4814193135861249
32,PopSh,1.1,4.202019362028318,4.677711817554842,0.0016062259674072266,0.015031312541011504,1.5031312541011506
33,PrpReBa,1.1,4.091498001692292,4.784957438917139,0.023061275482177734,0.01371639578979363,1.3716395789793632
34,PopReBa,1.1,4.195678980200363,4.71955135568591,0.0038270950317382812,0.01481419313586125,1.4814193135861249
35,PopReSh,1.1,4.195678980200363,4.718393123932241,0.079345703125,0.015360857423681049,1.536085742368105
